Order_ID,Customer_ID,Restaurant_ID,City,Cuisine_Type,Platform,Payment_Mode,Weather_Condition,Order_Status,Order_Amount_INR,Delivery_Fee_INR,Discount_Applied_INR,Customer_Rating,Delivery_Time_Minutes,Distance_KM,Items_Ordered,Customer_Age,Restaurant_Avg_Rating,Is_Repeat_Customer,Order_Date_Only,Order_Time_Only
ORD729371,CUST5614,REST764,Ahmedabad,South Indian,Swiggy,Cash,Humid,Cancelled,1911.88,48.18,145.035,3.3,86.0,13.22,1,32.0,2.3,1,2022-11-07,05:16:15
ORD701790,CUST4109,REST746,Chennai,Mughlai,Magicpin,Wallet,Windy,Delayed,737.16,22.29,81.11,3.5,101.0,2.85,6,55.0,2.9,1,2023-05-07,21:59:00
ORD820539,CUST1531,REST701,Bangalore,Chinese,Swiggy,Wallet,Humid,Returned,1991.7,69.75,112.87,2.1,109.0,13.76,7,54.0,4.8,0,2022-05-07,14:36:51
ORD186686,CUST5693,REST886,Kolkata,Italian,Direct App,Cash,Sunny,Cancelled,1044.71,47.27,184.16,3.2,93.0,1.23,9,43.0,2.3,0,2023-01-07,15:43:56
ORD520040,CUST5994,REST366,Hyderabad,North Indian,Swiggy,Credit Card,Windy,Delayed,2177.98,51.49,145.035,3.8,33.0,10.59,7,28.0,2.6,0,2022-03-09,08:45:56
ORD448354,CUST1182,REST572,Pune,North Indian,Swiggy,Debit Card,Sunny,Returned,1738.31,29.58,214.22,3.7,82.0,13.97,9,33.0,3.3,1,2023-06-12,02:07:04
ORD864711,CUST8311,REST210,Ahmedabad,Italian,Dotpe,Debit Card,Humid,Delivered,1756.47,75.87,80.51,4.2,45.0,4.02,5,51.0,2.2,1,2024-01-09,20:44:07
ORD933456,CUST9673,REST215,Bangalore,Desserts,Direct App,Debit Card,Rainy,Returned,1650.66,60.8,169.37,2.1,38.0,6.03,8,48.0,3.0,0,2024-02-28,05:42:39
ORD180657,CUST5612,REST587,Mumbai,Mughlai,Direct App,UPI,Rainy,Delivered,849.68,28.84,76.12,2.7,20.0,1.69,3,24.0,3.8,0,2024-01-05,06:27:11
ORD423284,CUST9591,REST561,Mumbai,North Indian,Magicpin,Credit Card,Sunny,Returned,1002.41,41.8,26.54,3.5,19.0,7.67,1,27.0,3.3,0,2023-07-12,04:19:48
ORD521233,CUST8464,REST132,Mumbai,Italian,Swiggy,Wallet,Rainy,Cancelled,2413.25,37.68,30.94,2.3,65.0,7.67,3,49.0,4.5,1,2022-05-05,09:11:07
ORD991401,CUST6995,REST571,Hyderabad,Italian,Direct App,UPI,Sunny,Delivered,674.38,65.76,36.38,2.3,97.0,5.91,10,51.0,4.2,1,2023-06-07,13:46:30
ORD278795,CUST6966,REST223,Chennai,Italian,Magicpin,UPI,Rainy,Returned,2192.84,16.9,154.97,1.8,68.0,7.67,3,43.0,4.3,1,2024-03-08,07:15:59
ORD949376,CUST8942,REST653,Hyderabad,Street Food,Dotpe,Debit Card,Cloudy,Cancelled,1343.62,28.94,167.38,2.2,67.0,8.86,1,42.0,2.2,0,2022-09-06,02:02:05
ORD741055,CUST4181,REST901,Kolkata,Fast Food,Direct App,Cash,Rainy,Cancelled,1540.48,64.19,208.64,4.9,14.0,8.5,7,55.0,4.0,1,2023-04-09,11:46:42
ORD620226,CUST8913,REST629,Kolkata,South Indian,Swiggy,Credit Card,Humid,Cancelled,1471.29,72.08,181.11,1.3,117.0,1.97,5,31.0,4.8,1,2023-12-03,11:11:14
ORD785424,CUST9294,REST616,Chennai,Street Food,Zomato,Credit Card,Cloudy,Delivered,651.77,43.32,145.035,4.1,76.0,8.41,2,22.0,3.8,1,2023-02-28,23:45:57
ORD681028,CUST5254,REST410,Delhi,Chinese,Dotpe,Credit Card,Sunny,Partial Refund,1038.87,18.9,183.59,4.3,45.0,4.34,7,53.0,4.3,1,2022-10-08,22:25:34
ORD927630,CUST9764,REST962,Pune,North Indian,Swiggy,Credit Card,Rainy,Returned,2228.6,51.85,96.29,2.7,106.0,10.99,6,42.282985339848956,3.7,0,2023-09-20,20:44:17
ORD771425,CUST9015,REST783,Delhi,Italian,Dotpe,Cash,Sunny,Returned,1191.38,29.78,158.06,4.0,63.0,12.9,3,60.0,3.5,0,2022-04-02,21:44:27
ORD522988,CUST9056,REST220,Delhi,Biryani,Dotpe,Wallet,Cloudy,Cancelled,1943.58,9.72,145.035,4.3,17.0,4.32,4,33.0,4.2,0,2024-03-27,07:12:29
ORD863187,CUST7298,REST320,Hyderabad,Chinese,Magicpin,Credit Card,Windy,Delivered,771.4,61.18,217.2,6.0,71.0,13.77,5,61.0,4.8,1,2023-11-19,04:58:36
ORD847332,CUST1212,REST185,Kolkata,Desserts,Swiggy,Cash,Windy,Partial Refund,1495.89,35.26,145.035,3.8,101.0,9.58,3,61.0,2.5,1,2023-01-16,07:12:46
ORD820141,CUST5961,REST225,Bangalore,Continental,Direct App,Debit Card,Humid,Cancelled,241.4,28.94,189.68,2.6,73.0,4.47,3,45.0,2.2,1,2023-02-26,04:33:37
ORD388204,CUST5685,REST743,Delhi,Biryani,Zomato,Credit Card,Sunny,Delayed,633.14,62.26,241.11,1.0,65.0,7.67,7,20.0,3.9,1,2023-05-12,15:38:11
ORD409234,CUST3643,REST371,Pune,Unknown,Dotpe,Cash,Cloudy,Returned,233.73,75.75,16.55,2.5,45.0,1.09,10,33.0,4.1,1,2023-04-26,22:02:57
ORD570646,CUST9814,REST954,Chennai,Desserts,Zomato,Credit Card,Sunny,Delayed,2171.43,59.13,223.37,2.7,95.0,4.13,3,54.0,3.9,1,2022-04-18,12:25:46
ORD234618,CUST1568,REST756,Chennai,North Indian,Direct App,Cash,Sunny,Returned,2181.9,63.52,194.28,2.6,18.0,8.33,10,53.0,3.5,1,2023-01-28,02:49:56
ORD922543,CUST1389,REST407,Pune,Continental,Direct App,Credit Card,Sunny,Returned,990.84,9.34,260.45,3.9,65.0,0.61,3,40.0,4.0,0,2023-04-30,05:37:32
ORD985885,CUST7366,REST239,Delhi,South Indian,Zomato,Wallet,Humid,Returned,2176.13,45.38,216.11,2.6,65.0,6.46,7,65.0,4.8,0,2023-04-10,17:16:43
ORD522979,CUST2599,REST845,Pune,Mughlai,Swiggy,Wallet,Sunny,Delayed,444.33,23.99,225.81,3.2,76.0,6.15,5,54.0,3.9,0,2022-11-30,07:45:54
ORD857111,CUST9608,REST733,Ahmedabad,Street Food,Zomato,Wallet,Humid,Partial Refund,657.67,43.58,196.31,2.4,92.0,13.7,8,56.0,4.4,1,2022-09-15,03:44:50
ORD242736,CUST7760,REST396,Hyderabad,Desserts,Direct App,Wallet,Humid,Delivered,428.04,23.08,73.5,1.1,65.0,1.22,6,51.0,2.4,0,2022-04-28,02:33:08
ORD104000,CUST7783,REST116,Kolkata,Unknown,Dotpe,Cash,Humid,Returned,149.73,35.8,143.66,4.2,110.0,2.89,7,60.0,4.6,1,2023-12-19,04:40:37
ORD178629,CUST3555,REST827,Ahmedabad,North Indian,Dotpe,Debit Card,Sunny,Partial Refund,385.05,47.46,145.035,4.5,43.0,5.23,4,43.0,4.3,1,2024-02-01,14:32:51
ORD218220,CUST7467,REST129,Ahmedabad,South Indian,Zomato,UPI,Windy,Cancelled,346.19,27.53,267.75,5.0,36.0,9.94,3,42.282985339848956,2.2,1,2022-03-04,11:56:43
ORD748276,CUST3159,REST278,Mumbai,Fast Food,Direct App,Wallet,Sunny,Partial Refund,660.98,2.34,226.19,3.2,65.0,12.62,4,22.0,2.0,1,2024-04-27,08:45:34
ORD284178,CUST5895,REST903,Bangalore,Desserts,Dotpe,Debit Card,Rainy,Partial Refund,2105.49,50.11,5.62,3.3,37.0,7.7,8,58.0,4.1,1,2023-03-16,09:00:05
ORD609172,CUST3932,REST314,Hyderabad,Fast Food,Zomato,Wallet,Rainy,Partial Refund,594.74,75.58,216.26,2.6,25.0,0.99,6,44.0,3.6,0,2024-02-12,21:00:59
ORD489737,CUST8074,REST686,Mumbai,Continental,Magicpin,UPI,Windy,Returned,697.96,59.24,293.18,4.7,103.0,3.31,7,31.0,2.7,1,2022-03-12,09:01:53
ORD710224,CUST7216,REST186,Kolkata,Street Food,Swiggy,Debit Card,Sunny,Cancelled,207.33,53.9,166.8,3.3,22.0,7.67,2,53.0,4.4,1,2023-12-24,03:45:01
ORD140666,CUST6085,REST926,Pune,Chinese,Zomato,Credit Card,Sunny,Delivered,990.07,73.94,160.66,4.3,92.0,11.4,9,46.0,2.1,0,2023-05-25,09:44:24
ORD645007,CUST6898,REST272,Delhi,South Indian,Dotpe,UPI,Humid,Cancelled,425.1,48.42,290.11,1.5,42.0,12.22,6,42.282985339848956,3.0,1,2023-07-23,05:04:56
ORD130354,CUST2781,REST610,Ahmedabad,Desserts,Zomato,Credit Card,Rainy,Partial Refund,2225.82,18.16,47.01,3.1,44.0,8.51,9,48.0,3.2,1,2022-04-26,00:51:36
ORD218423,CUST5597,REST533,Bangalore,Biryani,Dotpe,Credit Card,Windy,Cancelled,1380.5,55.14,200.86,3.5,65.0,6.61,3,52.0,3.9,0,2023-12-17,13:21:18
ORD917411,CUST3131,REST304,Pune,Fast Food,Dotpe,Credit Card,Sunny,Cancelled,322.63,41.13,294.36,1.8,18.0,9.27,10,25.0,2.1,0,2023-03-01,10:15:12
ORD956800,CUST8289,REST779,Pune,Desserts,Zomato,Debit Card,Sunny,Returned,1767.55,64.72,205.1,3.9,104.0,7.67,9,31.0,2.3,0,2023-06-14,06:26:16
ORD990079,CUST7662,REST542,Hyderabad,Italian,Dotpe,Debit Card,Windy,Partial Refund,1125.46,9.72,145.035,2.3,79.0,1.78,9,41.0,4.9,1,2022-03-14,19:57:56
ORD718372,CUST7780,REST848,Pune,South Indian,Dotpe,UPI,Windy,Cancelled,2044.11,20.95,172.88,3.6,93.0,2.77,8,43.0,3.9,1,2024-03-30,20:44:52
ORD229598,CUST9791,REST553,Kolkata,Mughlai,Direct App,Credit Card,Rainy,Delayed,1388.94,14.07,196.75,3.2,103.0,7.67,4,22.0,3.8,1,2023-06-05,11:16:31
ORD641590,CUST8063,REST675,Delhi,North Indian,Swiggy,Wallet,Cloudy,Cancelled,615.15,54.85,59.27,5.0,94.0,12.59,4,57.0,3.8,1,2022-06-26,05:40:15
ORD973703,CUST2692,REST518,Hyderabad,Desserts,Direct App,UPI,Windy,Delivered,1599.61,37.27,281.48,3.0,108.0,12.63,10,25.0,3.8,0,2023-03-10,10:06:44
ORD447067,CUST9464,REST872,Ahmedabad,Mughlai,Swiggy,UPI,Windy,Delivered,1177.75,73.82,193.54,3.2,97.0,8.75,4,57.0,2.8,0,2023-09-11,23:53:18
ORD158132,CUST6868,REST192,Mumbai,Mughlai,Direct App,UPI,Sunny,Returned,1529.13,31.38,78.72,3.9,120.0,3.65,4,42.282985339848956,2.2,1,2022-04-27,05:47:57
ORD533121,CUST8412,REST150,Pune,South Indian,Dotpe,UPI,Humid,Partial Refund,472.78,39.9,145.035,3.7,90.0,1.73,10,23.0,4.3,0,2022-05-21,06:44:06
ORD188341,CUST2467,REST373,Chennai,Biryani,Dotpe,Wallet,Rainy,Cancelled,593.71,8.5,123.06,2.7,117.0,2.49,4,30.0,2.1,0,2023-02-17,15:29:46
ORD586830,CUST7861,REST886,Mumbai,Biryani,Zomato,Cash,Cloudy,Delivered,1608.46,41.65,156.56,4.3,21.0,5.53,7,43.0,2.8,1,2022-05-02,07:52:49
ORD452618,CUST8438,REST814,Ahmedabad,Biryani,Zomato,Debit Card,Sunny,Partial Refund,2232.6,73.58,220.41,4.4,98.0,10.59,2,53.0,2.4,1,2022-07-23,03:18:55
ORD158936,CUST9921,REST207,Ahmedabad,Continental,Magicpin,UPI,Rainy,Delivered,1031.9,5.07,186.79,3.0,112.0,3.7,4,34.0,4.5,0,2024-02-15,05:42:26
ORD257375,CUST7014,REST854,Ahmedabad,Italian,Zomato,UPI,Sunny,Delivered,2324.36,11.44,250.2,4.7,25.0,8.43,3,41.0,3.7,1,2022-02-14,23:13:54
ORD963684,CUST1396,REST283,Ahmedabad,South Indian,Zomato,Debit Card,Sunny,Returned,1346.28,20.45,161.12,2.6,46.0,7.71,6,35.0,4.0,0,2022-12-11,03:58:24
ORD286080,CUST2083,REST972,Pune,Fast Food,Direct App,Debit Card,Rainy,Partial Refund,1311.5,17.65,98.99,2.6,16.0,3.57,1,43.0,4.8,1,2023-12-16,04:52:50
ORD740524,CUST5776,REST753,Chennai,Desserts,Direct App,UPI,Cloudy,Returned,992.61,49.68,30.98,3.2,44.0,11.05,1,50.0,3.3,0,2022-09-20,22:40:59
ORD170437,CUST2856,REST975,Ahmedabad,Desserts,Dotpe,Credit Card,Cloudy,Delivered,624.18,43.64,145.035,2.5,42.0,6.32,8,38.0,4.4,0,2022-02-08,12:06:09
ORD371840,CUST1146,REST918,Mumbai,Biryani,Zomato,Debit Card,Sunny,Delivered,2292.9,71.64,42.26,1.2,36.0,3.64,4,24.0,4.8,0,2022-10-21,01:28:12
ORD809641,CUST4592,REST285,Delhi,Fast Food,Swiggy,UPI,Sunny,Delivered,1386.85,39.23,67.34,4.1,70.0,6.61,6,57.0,3.4,1,2022-09-13,14:23:23
ORD374320,CUST7852,REST932,Delhi,South Indian,Magicpin,UPI,Cloudy,Delayed,2381.36,59.98,234.75,2.9,73.0,9.9,8,28.0,4.9,1,2022-06-25,07:09:11
ORD966028,CUST3871,REST764,Delhi,Italian,Swiggy,Cash,Sunny,Delivered,2128.67,17.26,121.36,3.8,51.0,7.67,8,50.0,4.0,0,2024-01-15,17:06:41
ORD578715,CUST9436,REST162,Pune,Desserts,Direct App,Credit Card,Sunny,Partial Refund,2263.13,69.34,82.62,2.8,63.0,2.89,2,49.0,3.6,0,2022-03-12,08:31:34
ORD498535,CUST6911,REST312,Hyderabad,Desserts,Dotpe,Cash,Cloudy,Partial Refund,193.38,55.63,98.3,3.7,113.0,5.81,1,25.0,3.7,1,2023-06-13,10:39:39
ORD276556,CUST8807,REST791,Hyderabad,South Indian,Dotpe,Debit Card,Rainy,Delivered,1772.72,75.66,284.32,4.2,65.0,12.0,2,55.0,2.6,0,2022-03-04,12:55:55
ORD219550,CUST2979,REST868#,Pune,Mughlai,Direct App,Wallet,Sunny,Partial Refund,2014.68,44.7,286.59,2.4,114.0,5.39,10,65.0,4.5,0,2022-10-15,01:08:32
ORD459315,CUST5127,REST587,Pune,Continental,Swiggy,Cash,Rainy,Cancelled,452.4,62.47,36.1,2.9,118.0,8.09,5,53.0,2.1,0,2024-06-25,17:59:35
ORD581294,CUST7731,REST529,Hyderabad,Biryani,Dotpe,Wallet,Cloudy,Cancelled,1002.03,18.72,97.33,3.8,65.0,7.59,10,57.0,4.2,1,2023-02-16,03:05:14
ORD647945,CUST9888,REST583,Ahmedabad,Street Food,Zomato,UPI,Rainy,Partial Refund,1038.29,39.44,178.33,1.8,36.0,12.0,9,29.0,3.4,0,2022-03-07,02:22:00
ORD829987,CUST4884,REST700,Hyderabad,Fast Food,Magicpin,Debit Card,Cloudy,Delayed,112.11,46.82,4.44,3.2,57.0,9.22,5,59.0,4.0,0,2023-08-05,16:54:53
ORD501583,CUST9873,REST582,Kolkata,Unknown,Magicpin,Debit Card,Rainy,Delayed,1294.84,68.7,145.035,3.7,26.0,6.55,1,34.0,5.0,0,2023-04-11,04:54:16
ORD510623,CUST4308,REST258,Chennai,Biryani,Swiggy,UPI,Humid,Cancelled,1138.34,16.23,102.27,3.5,56.0,11.28,4,62.0,4.4,1,2023-11-15,03:32:46
ORD270341,CUST7025,REST787,Ahmedabad,North Indian,Swiggy,Credit Card,Rainy,Partial Refund,932.84,42.27,193.52,4.0,91.0,7.76,4,42.282985339848956,2.8,0,2024-05-15,04:35:29
ORD371393,CUST4271,REST191,Chennai,Italian,Zomato,Cash,Sunny,Returned,1530.77,78.99,156.67,3.5,107.0,0.7,1,62.0,4.7,1,2023-10-25,04:37:56
ORD534574,CUST3319,REST736,Bangalore,North Indian,Swiggy,Credit Card,Sunny,Partial Refund,1948.23,29.81,145.035,1.4,74.0,7.67,7,31.0,2.7,1,2023-09-11,14:52:07
ORD425236,CUST5078,REST319,Mumbai,Chinese,Magicpin,Credit Card,Cloudy,Delayed,2152.6,39.84,28.79,2.5,26.0,10.06,10,36.0,3.0,1,2024-03-01,12:07:25
ORD620287,CUST9383,REST252#,Kolkata,South Indian,Dotpe,Debit Card,Windy,Returned,1924.25,4.66,286.01,2.5,77.0,1.35,1,28.0,3.1,1,2022-03-30,09:00:53
ORD934908,CUST2029,REST314,Mumbai,Biryani,Swiggy,UPI,Sunny,Partial Refund,2003.21,47.83,145.035,3.9,84.0,2.1,1,25.0,2.3,0,2022-08-30,11:31:05
ORD242175,CUST4387,REST618,Chennai,Chinese,Dotpe,Wallet,Sunny,Delivered,2166.68,9.41,79.05,3.4,84.0,6.05,9,34.0,4.8,1,2023-12-24,09:43:24
ORD242239,CUST8294,REST399,Delhi,Desserts,Unknown,UPI,Humid,Returned,390.44,27.48,255.42,3.1,51.0,7.51,5,38.0,2.9,0,2023-03-20,15:04:39
ORD104324,CUST8305,REST396,Bangalore,Chinese,Swiggy,Debit Card,Rainy,Partial Refund,1815.69,14.73,145.035,1.6,73.0,11.04,2,37.0,2.1,1,2023-03-25,22:51:18
ORD219754,CUST7474,REST256,Delhi,Biryani,Swiggy,Debit Card,Cloudy,Cancelled,587.92,23.52,240.02,3.2,65.0,8.9,4,55.0,3.7,1,2022-04-07,17:26:02
ORD836986,CUST7839,REST250,Mumbai,Chinese,Swiggy,Debit Card,Sunny,Delivered,1217.36,78.3,103.06,2.9,37.0,9.77,9,64.0,4.1,0,2022-06-08,18:40:31
ORD825309,CUST8734,REST117,Ahmedabad,Italian,Dotpe,Debit Card,Sunny,Delayed,261.53,21.91,145.035,2.9,108.0,7.67,1,18.0,2.6,1,2022-01-15,11:18:19
ORD235047,CUST1225,REST145,Chennai,Fast Food,Swiggy,Wallet,Windy,Delayed,1208.71,62.14,3.43,2.0,65.0,2.45,6,37.0,4.3,1,2022-07-16,00:45:48
ORD911739,CUST6331,REST167,Pune,Mughlai,Direct App,Debit Card,Humid,Delivered,1121.35,44.66,83.83,1.5,64.0,14.72,10,42.282985339848956,4.1,1,2023-02-21,22:30:39
ORD208310,CUST4492,REST857,Mumbai,South Indian,Swiggy,Credit Card,Windy,Delayed,877.43,42.73,21.4,3.4,38.0,13.47,7,43.0,2.4,0,2024-05-04,02:09:49
ORD547389,CUST9631,REST423#,Bangalore,Desserts,Swiggy,Debit Card,Windy,Partial Refund,1217.59,47.4,145.035,3.2,87.0,7.67,3,38.0,2.6,0,2023-12-06,11:39:52
ORD354533,CUST5237,REST603,Delhi,Street Food,Zomato,Wallet,Sunny,Delayed,2119.03,61.8,145.035,1.7,88.0,11.7,7,35.0,3.3,1,2022-02-02,16:12:50
ORD137572,CUST8624,REST651,Pune,South Indian,Zomato,Wallet,Windy,Delayed,2371.1,7.44,290.9,2.4,66.0,14.19,8,21.0,2.5,0,2022-04-24,01:35:47
ORD869649,CUST9952,REST141,Mumbai,Italian,Magicpin,Cash,Cloudy,Delivered,1677.37,1.4,145.035,3.5,50.0,9.24,3,37.0,2.2,1,2024-02-07,14:01:04
ORD117072,CUST5915,REST447,Chennai,Biryani,Dotpe,Debit Card,Sunny,Partial Refund,563.72,35.52,166.98,4.7,70.0,2.85,10,27.0,3.2,1,2024-06-22,09:57:49
ORD530849,CUST1881,REST525,Delhi,Street Food,Zomato,Debit Card,Sunny,Partial Refund,2137.75,68.49,39.21,4.5,65.0,14.24,4,18.0,4.3,1,2023-08-24,15:09:42
ORD810032,CUST3639,REST692,Kolkata,Fast Food,Magicpin,Credit Card,Rainy,Delayed,802.29,32.04,98.19,3.2,43.0,2.92,6,42.0,4.1,1,2022-12-12,12:55:48
ORD547080,CUST1305,REST104,Chennai,Italian,Dotpe,Wallet,Sunny,Cancelled,1639.74,3.09,297.63,2.2,118.0,7.16,9,43.0,2.3,0,2023-03-09,19:04:29
ORD335765,CUST4190,REST237,Hyderabad,Unknown,Dotpe,UPI,Rainy,Cancelled,90.91,23.7,6.87,5.0,105.0,3.2,5,42.282985339848956,4.2,0,2024-04-19,02:20:04
ORD476211,CUST5485,REST437,Pune,North Indian,Direct App,Credit Card,Windy,Partial Refund,1553.62,10.17,145.035,3.5,98.0,2.74,10,64.0,3.3,1,2023-10-30,20:20:31
ORD346415,CUST1022,REST713,Pune,North Indian,Magicpin,Wallet,Rainy,Cancelled,1799.82,49.74,137.32,4.2,49.0,9.47,1,46.0,4.2,1,2023-10-04,01:43:54
ORD934638,CUST2591,REST589,Delhi,Mughlai,Swiggy,Wallet,Windy,Delivered,2347.68,39.06,114.97,4.2,45.0,7.59,5,29.0,3.9,0,2022-12-07,05:04:51
ORD413357,CUST7529,REST153,Chennai,Street Food,Zomato,Debit Card,Windy,Cancelled,537.73,56.26,205.93,1.0,34.0,9.47,3,39.0,4.2,1,2024-04-19,04:41:31
ORD507247,CUST2015,REST867,Delhi,Chinese,Dotpe,Wallet,Cloudy,Returned,1242.31,68.6,172.16,3.7,89.0,7.67,4,20.0,2.6,0,2024-05-21,10:19:01
ORD282150,CUST6203,REST775,Chennai,Biryani,Dotpe,Cash,Rainy,Cancelled,1192.28,75.6,108.63,3.2,114.0,1.74,6,52.0,4.4,1,2024-01-25,10:46:50
ORD495490,CUST9255,REST402,Hyderabad,Biryani,Swiggy,Credit Card,Humid,Delayed,350.92,43.81,85.28,1.3,64.0,1.47,3,23.0,4.1,1,2023-10-19,12:12:24
