Order_ID,Customer_ID,Restaurant_ID,Order_Date,City,Cuisine_Type,Platform,Payment_Mode,Weather_Condition,Order_Status,Order_Amount_INR,Delivery_Fee_INR,Discount_Applied_INR,Customer_Rating,Delivery_Time_Minutes,Distance_KM,Items_Ordered,Customer_Age,Restaurant_Avg_Rating,Is_Repeat_Customer,Unnamed: 21,Unnamed: 22,_temp_flag
ORD968286,CUST9393,REST248,2024-02-25 01:00:38,Pune,Desserts,Zomato,UPI ,Rainy,Partial Refund,1223.57,51.15,141.79,4.4,10,7.02,3,52,3.1,0,,,1
ORD466749,CUST1013,REST744,2023-09-11 12:28:47,Ahmedabad,Fast Food,Direct App,Cash,Windy,Partial Refund,413.28,42.28,25.36,2.5,105,11.12,1,64,2.9,1,,,0
ORD611833,CUST1977,REST650,2023-01-20 11:55:03,Kolkata,Italian,Swiggy,UPI,Windy,Delayed,2456.09,3.63,228.67,3.2,40,4.48,7,53,2.8,1,,,
ORD388339,CUST5653,REST669,2023-10-25 22:54:55,Kolkata,Biryani,Direct App,Cash,Cloudy,Delivered,1704.7,64.88,,3.2,38,4.61,2,61,3.9,1,,,0
ORD454366,CUST5797,REST544,2022-11-29 17:40:52,New Delhi,Italian,DotPe,UPI,Sunny,Returned,1916.64,53.38,57.78,1.4,23,8.21,6,22,4.1,1,,,0
ORD414849,CUST8889,REST612,2022-10-06 15:03:00,Bangalore,Desserts,MagicPin,Credit Card,Sunny,Partial Refund,1198.08,55.31,165.53,4.6,14,6.79,9,50,4.3,0,,,0
ORD831514,CUST8258,REST105,2023-06-21 04:58:36,Ahmedabad,Biryani,DotPe,Debit Card,Rainy,Cancelled,773.6,55.56,172.17,4.9,80,8.26,3,38,3.2,0,,,
ORD359579,CUST6167,REST704,2022-04-29 01:21:14,Ahmedabad,Biryani,Swiggy,,Cloudy,Cancelled,-99,69.34,10.58,1.9,120,6.9,2,56,2.4,1,,,0
ORD265271,CUST9231,REST569,2023-12-08 09:05:32,Mumbai,Chinese,DotPe,Credit Card,Humid,Returned,258.33,28.18,187.99,3.0,72,7.98,8,59,3.3,0,,,
ORD160718,CUST8550,REST703,2023-12-11 14:14:02,Kolkata,Desserts,Direct App,Cash,,Cancelled,1151.53,75.12,82.68,2.9,73,6.46,3,65,4.9,1,,,
ORD178315,CUST6319,REST541,2023-12-06 17:03:54,Chennai,Italian,DotPe,,Cloudy,Delayed,753.68,71.57,109.43,3.2,60,,8,43,3.3,1,,,
ORD223502,CUST5183,REST855,2023-12-11 21:46:06,Bangalore,Desserts,DotPe,Debit Card,Windy,Delivered,1319.75,4.09,206.58,2.3,48,0.79,3,35,2.1,1,,,
ORD630126,CUST1203,REST999,2024-02-09 22:04:56,Delhi,Continental,MagicPin,Wallet,Rainy,Delayed,132.39,64.89,,1.9,11,9.74,6,24,4.9,1,,,1
ORD862540,CUST6529,REST954,09 Dec 2022,Pune,Street Food,MagicPin,Cash,Rainy,Delayed,720.24,23.37,120.54,4.6,40,,6,36,4.5,0,,,1
ORD836109,CUST3930,REST802,"December 28, 2022",Pune,Biryani,Swiggy,UPI,Windy,Delivered,2261.14,9.16,,1.1,13,3.73,4,41,2.2,1,,,0
ORD352593,CUST5994,REST367,2023-08-08 19:27:11,Hyderabad,Chinese,Swiggy,Debit Card,Humid,Delivered,1285.69,18.7,151.0,2.8,105,5.84,5,27,2.7,1,,,
ORD729371,CUST5614,REST764,2022-11-07 05:16:15,Ahmedabad,South Indian,Swiggy,Cash,Humid,Cancelled,1911.88,48.18,,3.3,86,13.22,1,32,2.3,1,,,1
ORD148823,CUST4342,REST325,2022-12-21 00:39:48,Mumbai,Desserts,DotPe,Debit Card,Rainy,Delayed,116.12,29.9,181.51,4.0,53,13.05,10,52,2.4,1,,,0
ORD701790,CUST4109,REST746,2023-05-07 21:59:00,Madras,Mughlai,MagicPin,,Windy,Delayed,737.16,22.29,81.11,3.5,101,2.85,6,55,2.9,1,,,
ORD820539,CUST1531,REST701,2022-05-07 14:36:51,Bangaluru,Chinese,Swiggy,,Humid,Returned,1991.7,69.75,112.87,2.1,109,13.76,7,54,4.8,0,,,
ORD186686,CUST5693,REST886,2023-01-07 15:43:56,Kolkata,Italian,Direct App,Cash,,Cancelled,1044.71,47.27,184.16,,93,1.23,9,43,2.3,0,,,
ORD520040,CUST5994,REST366,2022-03-09 08:45:56,Hyderabad,North Indian,Swiggy,Credit Card,Windy,Delayed,2177.98,51.49,,3.8,33,10.59,7,28,2.6,0,,,
ORD448354,CUST1182,REST572,2023-06-12 02:07:04,Pune,North Indian,Swiggy,Debit Card,Sunny,Returned,1738.31,29.58,214.22,3.7,82,13.97,9,33,3.3,1,,,
ORD864711,CUST8311,REST210,2024-01-09 20:44:07,Ahmedabad,Italian,DotPe,Debit Card,Humid,Delivered,1756.47,75.87,80.51,4.2,45,4.02,5,51,2.2,1,,,
ORD933456,CUST9673,REST215,2024-02-28 05:42:39,Bangalore,Desserts,Direct App,Debit Card,Rainy,Returned,1650.66,60.8,169.37,2.1,38,6.03,8,48,3.0,0,,,1
ORD180657,CUST5612,REST587,2024-01-05 06:27:11,mUMBAI,Mughlai,Direct App,UPI,Rainy,Delivered,849.68,28.84,76.12,2.7,20,1.69,3,24,3.8,0,,,1
ORD869238,CUST9154,REST635,2024-01-30 15:21:22,n/a,Street Food,MagicPin,Credit Card,Rainy,Delayed,436.08,28.29,158.23,2.3,57,,9,32,2.6,1,,,1
ORD423284,CUST9591,REST561,2023-07-12 04:19:48,Mumbai,North Indian,MagicPin,Credit Card,Sunny,Returned,1002.41,41.8,26.54,3.5,19,,1,27,3.3,0,,,1
ORD446663,CUST1256,REST511,07 Sep 2023,Kolkata,Continental,Direct App,Wallet,Rainy,Cancelled,240.47,22.41,231.58,5.0,94,12.54,8,59,3.6,0,,,
ORD856320,CUST3171,REST633,12-09-2023,Delhi,Mughlai,Zomato,Credit_Card,Humid,Cancelled,1049.97,47.24,73.88,2.2,44,13.85,9,49,2.3,1,,,
ORD521233,CUST8464,REST132,2022-05-05 09:11:07,Mumbai,Italian,Swiggy,Wallet,Rainy,Cancelled,2413.25,37.68,30.94,2.3,,,3,49,4.5,1,,,
ORD991401,CUST6995,REST571,2023-06-07 13:46:30,Hyderabad,Italian,Direct App,UPI,,Delivered,674.38,65.76,36.38,2.3,97,5.91,10,51,4.2,1,,,0
ORD278795,CUST6966,REST223,2024-03-08 07:15:59,Chennai,Italian,MagicPin,UPI,Rainy,Returned,2192.84,16.9,154.97,1.8,68,,3,43,4.3,1,,,0
ORD949376,CUST8942,REST653,2022-09-06 02:02:05,Hyderabad,Street Food,DotPe,Debit Card,Cloudy,Cancelled,1343.62,28.94,167.38,2.2,67,8.86,1,42,2.2,0,,,
ORD875584,CUST9851,REST669,2022-09-08 22:59:04,Ahmedabad,Street Food,MagicPin,UPI,Rainy,Returned,87.6,33.95,238.62,1.5,87,,6,53,4.9,0,,,
ORD741055,CUST4181,REST901,2023-04-09 11:46:42,Kolkata,Fast Food,Direct App,Cash,Rainy,Cancelled,1540.48,64.19,208.64,4.9,14,8.5,7,55,4.0,1,,,0
ORD620226,CUST8913,REST629,2023-12-03 11:11:14,Kolkata,South Indian,Swiggy,Credit Card,Humid,Cancelled,1471.29,72.08,181.11,1.3,117,1.97,5,31,4.8,1,,,0
ORD232315,CUST2897,REST121,2023/12/20,Kolkata,Street Food,Swiggy,Wallet,Windy,Cancelled,217.01,62.6,139.94,4.2,91,14.23,3,42,3.4,1,,,
ORD785424,CUST9294,REST616,2023-02-28 23:45:57,Chennai,Street Food,Zomato,Credit Card,Cloudy,Delivered,651.77,43.32,,4.1,76,8.41,2,22,3.8,1,,,1
ORD720995,CUST8960,REST198,2022-12-05 04:28:39,Pune,Desserts,Swiggy,Credit_Card,Sunny,Delayed,94.58,55.83,139.72,4.1,85,2.11,6,62,3.2,1,,,
ORD681028,CUST5254,REST410,2022-10-08 22:25:34,Delhi,Chinese,DotPe,Credit Card,,Partial Refund,1038.87,18.9,183.59,4.3,45,4.34,7,53,4.3,1,,,
ORD927630,CUST9764,REST962,2023-09-20 20:44:17,Pune,North Indian,Swiggy,Credit Card,Rainy,Returned,2228.6,51.85,96.29,2.7,106,10.99,6,,3.7,0,,,
ORD771425,CUST9015,REST783,2022-04-02 21:44:27,Delhi,Italian,DotPe,cash,Sunny,Returned,1191.38,29.78,158.06,4.0,63,12.9,3,60,3.5,0,,,
ORD522988,CUST9056,REST220,2024-03-27 07:12:29,Delhi,Biryani,DotPe,Wallet,Cloudy,Cancelled,1943.58,9.72,,4.3,17,4.32,4,33,4.2,0,,,0
ORD863187,CUST7298,REST320,2023-11-19 04:58:36,Hyderabad,Chinese,MagicPin,Credit Card,Windy,Delivered,771.4,61.18,217.2,6,71,13.77,5,61,4.8,1,,,
ORD847332,CUST1212,REST185,2023-01-16 07:12:46,Kolkata,Desserts,Swiggy,Cash,Windy,Partial Refund,1495.89,35.26,,3.8,101,9.58,3,61,2.5,1,,,1
ORD820141,CUST5961,REST225,2023-02-26 04:33:37,Bangalore,Continental,Direct App,Debit Card,Humid,Cancelled,241.4,28.94,189.68,2.6,73,4.47,3,45,2.2,1,,,
ORD508548,CUST5633,REST573,2024-04-17 21:30:27,Hyderabad,Street Food,DotPe,Cash,Humid,Delayed,121.32,19.99,,1.6,82,4.06,10,22,3.2,1,,,
ORD388204,CUST5685,REST743,2023-05-12 15:38:11,Delhi,Biryani,Zomato,Credit Card,,Delayed,633.14,62.26,241.11,1.0,73 mins,,7,20,3.9,1,,,
ORD409234,CUST3643,REST371,2023-04-26 22:02:57,Pune,N/A,DotPe,CASH,Cloudy,Returned,233.73,75.75,16.55,2.5,45,1.09,10,33,4.1,1,,,
ORD570646,CUST9814,REST954,2022-04-18 12:25:46,Chennai,Desserts,Zomato,Credit Card,Sunny,Delayed,2171.43,59.13,223.37,2.7,95,4.13,3,54,3.9,1,,,0
ORD672892,CUST8450,REST577,30 Jul 2023,Hyderabad,Desserts,DotPe,Credit Card,Rainy,Delayed,386.98,62.24,185.48,4.9,14,8.98,1,34,2.7,0,,,
ORD234618,CUST1568,REST756,2023-01-28 02:49:56,Chennai,North Indian,Direct App,Cash,Sunny,Returned,2181.9,63.52,194.28,2.6,18,8.33,10,53,3.5,1,,,1
ORD922543,CUST1389,REST407,2023-04-30 05:37:32,Pune,Continental,Direct App,Credit Card,Sunny,Returned,990.84,9.34,260.45,3.9,65,0.61,3,40,4.0,0,,,
ORD985885,CUST7366,REST239,2023-04-10 17:16:43,DELHI ,South Indian,Zomato,Wallet,Humid,Returned,2176.13,45.38,216.11,2.6,65,6.46,7,65,4.8,0,,,1
ORD522979,CUST2599,REST845,2022-11-30 07:45:54,Pune,Mughlai,Swiggy,,Sunny,Delayed,444.33,23.99,225.81,,76,6.15,5,54,3.9,0,,,1
ORD857111,CUST9608,REST733,2022-09-15 03:44:50,Ahmedabad,Street Food,Zomato,Wallet,Humid,Partial Refund,657.67,43.58,196.31,2.4,92,13.7,8,56,4.4,1,,,
ORD242736,CUST7760,REST396,2022-04-28 02:33:08,Hyderabad,Desserts,Direct App,Wallet,Humid,Delivered,428.04,23.08,73.5,1.1,,1.22,6,51,2.4,0,,,
ORD104000,CUST7783,REST116,2023-12-19 04:40:37,Kolkata,unknown,DotPe,Cash,Humid,Returned,149.73,35.8,143.66,4.2,110,2.89,7,60,4.6,1,,,
ORD178629,CUST3555,REST827,2024-02-01 14:32:51,Ahmedabad,North Indian,DotPe,Debit Card,,Partial Refund,385.05,47.46,,4.5,43,5.23,4,43,4.3,1,,,1
ORD585556,CUST9918,REST912,08/06/2022,Delhi,Mughlai,NULL,Debit Card,Rainy,Partial Refund,2226.77,7.07,44.18,2.8,28,6.82,8,62,3.4,1,,,1
ORD218220,CUST7467,REST129,2022-03-04 11:56:43,Ahmedabad,South Indian,Zomato,UPI,Windy,Cancelled,346.19,27.53,267.75,5.0,36,9.94,3,,2.2,1,,,
ORD748276,CUST3159,REST278,2024-04-27 08:45:34,Mumbai,Fast Food,Direct App,,Sunny,Partial Refund,660.98,2.34,226.19,,,12.62,4,22,2.0,1,,,
ORD284178,CUST5895,REST903,2023-03-16 09:00:05,Bangalore,Desserts,DotPe,Debit Card,Rainy,Partial Refund,2105.49,50.11,5.62,3.3,37,7.7,8,58,4.1,1,,,1
ORD609172,CUST3932,REST314,2024-02-12 21:00:59,Hyderabad,Fast Food,Zomato,Wallet,Rainy,Partial Refund,594.74,75.58,216.26,2.6,25,0.99,6,44,3.6,0,,,1
ORD489737,CUST8074,REST686,2022-03-12 09:01:53,MUMBAI,Continental,MagicPin,UPI ,Windy,Returned,697.96,59.24,293.18,4.7,103,3.31,7,31,2.7,1,,,1
ORD710224,CUST7216,REST186,2023-12-24 03:45:01,Kolkata,Street Food,Swiggy,Debit Card,Sunny,Cancelled,207.33,53.9,166.8,3.3,22,,2,53,4.4,1,,,
ORD140666,CUST6085,REST926,2023-05-25 09:44:24,Pune,Chinese,Zomato,Credit Card,Sunny,Delivered,990.07,73.94,160.66,4.3,92,11.4,9,46,2.1,0,,,
ORD645007,CUST6898,REST272,2023-07-23 05:04:56,Delhi,South Indian,DotPe,UPI,Humid,Cancelled,425.1,48.42,290.11,1.5,42,12.22,6,,3.0,1,,,0
ORD130354,CUST2781,REST610,2022-04-26 00:51:36,Ahmedabad,Desserts,Zomato,CC,Rainy,Partial Refund,2225.82,18.16,47.01,3.1,44,8.51,9,48,3.2,1,,,
ORD218423,CUST5597,REST533,2023-12-17 13:21:18,Bangalore,Biryani,DotPe,Credit Card,Windy,Cancelled,1380.5 INR,55.14,200.86,3.5,,6.61,3,52,3.9,0,,,
ORD965401,CUST7929,REST715,2023-03-16 17:12:42,Bangalore,North Indian,MagicPin,Debit Card,,Partial Refund,87.11,68.08,250.95,3.1,49,0.85,7,29,2.7,0,,,1
ORD620248,CUST8187,REST108,02-03-2024,Kolkata,Biryani,DotPe,Cash,Cloudy,Delivered,1448.71,64.62,288.28,1.2,38,8.93,8,,3.9,1,,,1
ORD917411,CUST3131,REST304,2023-03-01 10:15:12,Pune,Fast Food,DotPe,Credit_Card,Sunny,Cancelled,322.63,41.13,294.36,1.8,18,9.27,10,25,2.1,0,,,0
ORD956800,CUST8289,REST779,2023-06-14 06:26:16,Pune,Desserts,Zomato,Debit Card,Sunny,Returned,1767.55,64.72,205.1,3.9,104,,9,31,2.3,0,,,1
ORD990079,CUST7662,REST542,2022-03-14 19:57:56,Hyderabad,Italian,DotPe,Debit Card,Windy,Partial Refund,1125.46,9.72,,2.3,79,1.78,9,41,4.9,1,,,0
ORD587648,CUST1306,REST401,2024/02/28,Ahmedabad,Desserts,DotPe,UPI,Sunny,Partial Refund,1406.22,15.08,120.39,3.0,70,5.43,9,47,2.4,1,,,
ORD718372,CUST7780,REST848,2024-03-30 20:44:52,Pune,South Indian,DotPe,UPI,Windy,Cancelled,2044.11,20.95,172.88,3.6,93,2.77,8,43,3.9,1,,,0
ORD229598,CUST9791,REST553,2023-06-05 11:16:31,Kolkata,Mughlai,Direct App,Credit Card,Rainy,Delayed,1388.94,14.07,196.75,,103,,4,22,3.8,1,,,0
ORD641590,CUST8063,REST675,2022-06-26 05:40:15,Delhi,North Indian,Swiggy,Wallet,Cloudy,Cancelled,615.15,54.85,59.27,5.0,94,12.59,4,57,3.8,1,,,1
ORD973703,CUST2692,REST518,2023-03-10 10:06:44,Hyderabad,Desserts,Direct App,UPI,Windy,Delivered,1599.61,37.27,281.48,3.0,108,12.63,10,25,3.8,0,,,1
ORD447067,CUST9464,REST872,2023-09-11 23:53:18,Ahmedabad,Mughlai,Swiggy,UPI,Windy,Delivered,1177.75,73.82,193.54,,97,8.75,4,57,2.8,0,,,
ORD158132,CUST6868,REST192,2022-04-27 05:47:57,Mumbai,Mughlai,Direct App,UPI,Sunny,Returned,1529.13 INR,31.38,78.72,3.9,120,3.65,4,,2.2,1,,,
ORD533121,CUST8412,REST150,2022-05-21 06:44:06,Pune,South Indian,DotPe,UPI,Humid,Partial Refund,472.78,39.9,,3.7,90,1.73,10,23,4.3,0,,,
ORD188341,CUST2467,REST373,2023-02-17 15:29:46,Madras,Biryani,DotPe,Wallet,Rainy,Cancelled,593.71,8.5,123.06,2.7,117,2.49,4,30,2.1,0,,,
ORD586830,CUST7861,REST886,2022-05-02 07:52:49,Mumbai,Biryani,Zomato,Cash,Cloudy,Delivered,1608.46,41.65,156.56,4.3,21,5.53,7,43,2.8,1,,,0
ORD452618,CUST8438,REST814,2022-07-23 03:18:55,Ahmedabad,Biryani,Zomato,Debit Card,,Partial Refund,2232.6,73.58,220.41,4.4,98,10.59,2,53,2.4,1,,,0
ORD158936,CUST9921,REST207,2024-02-15 05:42:26,Ahmedabad,Continental,MagicPin,UPI,Rainy,Delivered,1031.9,5.07,186.79,3.0,112,3.7,4,34,4.5,0,,,0
ORD257375,CUST7014,REST854,2022-02-14 23:13:54,Ahmedabad,Italian,Zomato,UPI,,Delivered,2324.36,11.44,250.2,4.7,25,8.43,3,41,3.7,1,,,
ORD963684,CUST1396,REST283,2022-12-11 03:58:24,Ahmedabad,South Indian,Zomato,Debit Card,Sunny,Returned,1346.28,20.45,161.12,2.6,46,7.71,6,35,4.0,0,,,
ORD286080,CUST2083,REST972,2023-12-16 04:52:50,Pune,Fast Food,Direct App,Debit Card,Rainy,Partial Refund,1311.5,17.65,98.99,2.6,16,3.57,1,43,4.8,1,,,
ORD740524,CUST5776,REST753,2022-09-20 22:40:59,Chennai,Desserts,Direct App,UPI,Cloudy,Returned,992.61,49.68,30.98,3.2,44,11.05,1,50,3.3,0,,,
ORD170437,CUST2856,REST975,2022-02-08 12:06:09,Ahmedabad,Desserts,DotPe,Credit Card,Cloudy,Delivered,624.18,43.64,,2.5,42,6.32,8,38,4.4,0,,,
ORD371840,CUST1146,REST918,2022-10-21 01:28:12,Mumbai,Biryani,Zomato,Debit Card,Sunny,Delivered,2292.9,71.64,42.26,1.2,36,3.64,4,24,4.8,0,,,0
ORD857888,CUST9906,REST931,2024-04-20 10:32:20,Bangalore,North Indian,MagicPin,Cash,Humid,Partial Refund,1320.56,23.04,1980.84,3.5,,,1,57,4.1,1,,,0
ORD809641,CUST4592,REST285,2022-09-13 14:23:23,Delh1,Fast Food,Swiggy,UPI,,Delivered,1386.85,39.23,67.34,4.1,70,6.61,6,57,3.4,1,,,0
ORD374320,CUST7852,REST932,2022-06-25 07:09:11,Delhi,South Indian,MagicPin,UPI,Cloudy,Delayed,2381.36,59.98,234.75,2.9,73,9.9,8,28,4.9,1,,,
ORD966028,CUST3871,REST764,2024-01-15 17:06:41,Delhi,Italian,Swiggy,Cash,Sunny,Delivered,2128.67,17.26,121.36,3.8,51,,8,50,4.0,0,,,
ORD614259,CUST8680,REST430,19 Feb 2023,Bangalore,Chinese,Direct App,Wallet,Humid,Delivered,1220.35,2.97,279.52,1.2,74,1.31,3,,3.4,1,,,
ORD578715,CUST9436,REST162,2022-03-12 08:31:34,Pune,Desserts,Direct App,credit card,Sunny,Partial Refund,2263.13,69.34,82.62,2.8,63,2.89,2,49,3.6,0,,,
ORD659614,CUST9869,REST796,2022-09-02 12:38:35,Chennai,Continental,MagicPin,Cash,Cloudy,Returned,230.31,61.57,237.8,2.9,22,8.63,4,33,3.3,0,,,0
ORD498535,CUST6911,REST312,2023-06-13 10:39:39,Hyderabad,Desserts,DotPe,Cash on Delivery,Cloudy,Partial Refund,193.38,55.63,98.3,3.7,113,5.81,1,25,3.7,1,,,
ORD276556,CUST8807,REST791,2022-03-04 12:55:55,Hyderabad,South Indian,DotPe,Debit Card,Rainy,Delivered,1772.72,75.66,284.32,4.2,29 mins,12.0,2,55,2.6,0,,,1
ORD219550,CUST2979,REST868#,2022-10-15 01:08:32,Pune,Mughlai,Direct App,Wallet,Sunny,Partial Refund,2014.68,44.7,286.59,2.4,114,5.39,10,65,4.5,0,,,0
ORD459315,CUST5127,REST587,2024-06-25 17:59:35,Pune,Continental,Swiggy,CASH,Rainy,Cancelled,452.4,62.47,36.1,2.9,118,8.09,5,53,2.1,0,,,
ORD581294,CUST7731,REST529,2023-02-16 03:05:14,Hyderabad,Biryani,DotPe,,Cloudy,Cancelled,1002.03,18.72,97.33,3.8,,7.59,10,57,4.2,1,,,0
ORD647945,CUST9888,REST583,2022-03-07 02:22:00,Ahmedabad,Street Food,Zomato,UPI,Rainy,Partial Refund,1038.29,39.44,178.33,1.8,36,12.0,9,29,3.4,0,,,0
ORD829987,CUST4884,REST700,2023-08-05 16:54:53,Hyderabad,Fast Food,MagicPin,Debit Card,Cloudy,Delayed,112.11,46.82,4.44,,57,9.22,5,59,4.0,0,,,0
ORD501583,CUST9873,REST582,2023-04-11 04:54:16,Kolkata,N/A,MagicPin,Debit Card,Rainy,Delayed,1294.84,68.7,,3.7,26,6.55,1,34,5.0,0,,,
ORD510623,CUST4308,REST258,2023-11-15 03:32:46,Chennai,Biryani,Swiggy,UPI,Humid,Cancelled,1138.34,16.23,102.27,3.5,56,11.28,4,62,4.4,1,,,
ORD281201,CUST1712,REST854,2023-09-12 09:44:19,Hyderabad,Fast Food,DotPe,Cash,Windy,Returned,160.28,64.89,190.95,1.1,83,9.05,6,32,3.4,1,,,
ORD402865,CUST3262,REST513,2022/01/11,Mumbai,UNKNOWN,Direct App,UPI,Windy,Delivered,262.11,5.31,67.04,2.3,20,10.44,2,49,4.8,0,,,1
ORD529016,CUST6877,REST951,"September 14, 2022",Pune,Italian,Direct App,Cash,,Cancelled,1201.36,71.15,171.29,4.8,95,1.87,1,62,2.4,1,,,
ORD409783,CUST7649,REST783,"May 03, 2022",Hyderabad,Biryani,MagicPin,UPI,Humid,Cancelled,1477.72,13.58,49.22,,110,7.74,2,53,3.4,1,,,0
ORD270341,CUST7025,REST787,2024-05-15 04:35:29,Ahmedabad,North Indian,Swiggy,Credit Card,Rainy,Partial Refund,932.84,42.27,193.52,4.0,91,7.76,4,,2.8,0,,,1
ORD371393,CUST4271,REST191,2023-10-25 04:37:56,CHENNAI,Italian,Zomato,Cash,Sunny,Returned,1530.77,78.99,156.67,3.5,107,0.7,1,62,4.7,1,,,
ORD534574,CUST3319,REST736,2023-09-11 14:52:07,Bangalore,North Indian,Swiggy,Credit Card,Sunny,Partial Refund,1948.23,29.81,,1.4,74,,7,31,2.7,1,,,
ORD425236,CUST5078,REST319,2024-03-01 12:07:25,mumbai,Chinese,MagicPin,Credit Card,Cloudy,Delayed,2152.6,39.84,28.79,2.5,26,10.06,10,36,3.0,1,,,1
ORD620287,CUST9383,REST252#,2022-03-30 09:00:53,Kolkata,South Indian,DotPe,Debit Card,Windy,Returned,1924.25,4.66,286.01,2.5,77,1.35,1,28,3.1,1,,,
ORD934908,CUST2029,REST314,2022-08-30 11:31:05,Mumbai,Biryani,Swiggy,UPI,Sunny,Partial Refund,2003.21,47.83,,3.9,84,2.1,1,25,2.3,0,,,1
ORD242175,CUST4387,REST618,2023-12-24 09:43:24,Chennai,Chinese,DotPe,Wallet,Sunny,Delivered,2166.68,9.41,79.05,3.4,84,6.05,9,34,4.8,1,,,1
ORD242239,CUST8294,REST399,2023-03-20 15:04:39,new delhi,Desserts,unknown,UPI,Humid,Returned,390.44,27.48,255.42,3.1,51,7.51,5,38,2.9,0,,,0
ORD104324,CUST8305,REST396,2023-03-25 22:51:18,Bangalore,Chinese,Swiggy,Debit Card,Rainy,Partial Refund,1815.69,14.73,,1.6,73,11.04,2,37,2.1,1,,,
ORD219754,CUST7474,REST256,2022-04-07 17:26:02,Delhi,Biryani,Swiggy,Debit Card,Cloudy,Cancelled,587.92,23.52,240.02,,,8.9,4,55,3.7,1,,,1
ORD836986,CUST7839,REST250,2022-06-08 18:40:31,Mumabi,Chinese,Swiggy,Debit Card,Sunny,Delivered,1217.36,78.3,103.06,2.9,37,9.77,9,64,4.1,0,,,
